Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
BASE_LINK,0.003046,-0.00039141,-0.0030527,0,0,0,12.024,0.020485,2.7038E-05,2.7578E-05,0.067964,0.00013743,0.071441,0,0,0,0,0,0,package://ZJ_V3_URDF_V1_0/meshes/BASE_LINK.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://ZJ_V3_URDF_V1_0/meshes/BASE_LINK.STL,,v30001_asm.stp-1/0001_ASM.stp-1;v30001_asm.stp-1/ZG_0001_ASM.stp-1/ZG_0002_ASM.stp-1/0000_ZG_0001_ASM.stp-1;v30001_asm.stp-1/ZG_0001_ASM.stp-1/ZG_0003_ASM.stp-1/0000_ZG_0001_ASM.stp-1;v30001_asm.stp-1/ZG_0001_ASM.stp-1/ZG_0004_ASM.stp-1/0000_ZG_0001_ASM.stp-1;v30001_asm.stp-1/ZG_0001_ASM.stp-1/ZG_0005_ASM.stp-1/0000_ZG_0001_ASM.stp-1,BASE坐标系,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
FAR_ABAD_LINK,0.030211,-0.015926,4.7238E-07,0,0,0,0.26957,0.00020169,-7.0404E-05,-2.0546E-09,0.00029273,-1.5E-09,0.00025789,0,0,0,0,0,0,package://ZJ_V3_URDF_V1_0/meshes/FAR_ABAD_LINK.STL,1,0.94902,0.89804,1,0,0,0,0,0,0,package://ZJ_V3_URDF_V1_0/meshes/FAR_ABAD_LINK.STL,,v30001_asm.stp-1/ZG_0001_ASM.stp-1/ZG_0002_ASM.stp-1/2L0001.stp-1,FAR_ABAD坐标系,FAR_ABAD基准轴,FAR_ABAD_JOINT,revolute,0.272,-0.065,0.0002,0,0,0,BASE_LINK,1,0,0,0,0,0,0,,,,,,,,
FAR_HIP_LINK,0.000247764426273278,-0.0540953880096747,-0.124370543344647,0,0,0,2.65253863587153,0.00730066079932922,-1.52168922735087E-05,-3.19099593418468E-07,0.00793193572042537,3.41551661575468E-05,0.00193061618388003,0,0,0,0,0,0,package://ZJ_V3_URDF_V1_0/meshes/FAR_HIP_LINK.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://ZJ_V3_URDF_V1_0/meshes/FAR_HIP_LINK.STL,,v30001_asm.stp-1/ZG_0001_ASM.stp-1/ZG_0002_ASM.stp-1/ZG_234_A_ASM.stp-1/00000_P85_ALL_SW0007.stp-1;v30001_asm.stp-1/ZG_0001_ASM.stp-1/ZG_0002_ASM.stp-1/ZG_234_A_ASM.stp-1/0067_ASM.stp-1;v30001_asm.stp-1/ZG_0001_ASM.stp-1/ZG_0002_ASM.stp-1/ZG_234_A_ASM.stp-1/0080.stp-1;v30001_asm.stp-1/ZG_0001_ASM.stp-1/ZG_0002_ASM.stp-1/ZG_234_A_ASM.stp-1/0081.stp-1;v30001_asm.stp-1/ZG_0001_ASM.stp-1/ZG_0002_ASM.stp-1/ZG_234_A_ASM.stp-1/0082.stp-1;v30001_asm.stp-1/ZG_0001_ASM.stp-1/ZG_0002_ASM.stp-1/ZG_234_A_ASM.stp-1/20005.stp-1;v30001_asm.stp-1/ZG_0001_ASM.stp-1/ZG_0002_ASM.stp-1/ZG_234_A_ASM.stp-1/20006.stp-1;v30001_asm.stp-1/ZG_0001_ASM.stp-1/ZG_0002_ASM.stp-1/ZG_234_A_ASM.stp-1/20007.stp-1;v30001_asm.stp-1/ZG_0001_ASM.stp-1/ZG_0002_ASM.stp-1/ZG_234_A_ASM.stp-1/00000_P85_ALL_SW0007.stp-2,FAR_HIP坐标系,FAR_HIP基准轴,FAR_HIP_JOINT,revolute,0.0575,-0.039,0,0,0,0,FAR_ABAD_LINK,0,1,0,0,0,0,0,,,,,,,,
FAR_KNEE_LINK,9.0281E-05,-0.024369,-0.17395,0,0,0,1.5888,0.0051917,4.0679E-06,3.8182E-06,0.0057042,-0.00021564,0.00096702,0,0,0,0,0,0,package://ZJ_V3_URDF_V1_0/meshes/FAR_KNEE_LINK.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://ZJ_V3_URDF_V1_0/meshes/FAR_KNEE_LINK.STL,,v30001_asm.stp-1/ZG_0001_ASM.stp-1/ZG_0002_ASM.stp-1/ZG_234_A_ASM.stp-1/0071_ASM.stp-1;v30001_asm.stp-1/ZG_0001_ASM.stp-1/ZG_0002_ASM.stp-1/ZG_234_A_ASM.stp-1/007.stp-1;v30001_asm.stp-1/ZG_0001_ASM.stp-1/ZG_0002_ASM.stp-1/ZG_234_A_ASM.stp-1/0076.stp-1;v30001_asm.stp-1/ZG_0001_ASM.stp-1/ZG_0002_ASM.stp-1/ZG_234_A_ASM.stp-1/0077.stp-1;v30001_asm.stp-1/ZG_0001_ASM.stp-1/ZG_0002_ASM.stp-1/ZG_234_A_ASM.stp-1/30002.stp-1;v30001_asm.stp-1/ZG_0001_ASM.stp-1/ZG_0002_ASM.stp-1/ZG_234_A_ASM.stp-1/30003.stp-1;v30001_asm.stp-1/ZG_0001_ASM.stp-1/ZG_0002_ASM.stp-1/ZG_234_A_ASM.stp-1/30004.stp-1;v30001_asm.stp-1/ZG_0001_ASM.stp-1/ZG_0002_ASM.stp-1/ZG_234_A_ASM.stp-1/008.stp-1;v30001_asm.stp-1/ZG_0001_ASM.stp-1/ZG_0002_ASM.stp-1/ZG_234_A_ASM.stp-1/008.stp-2;v30001_asm.stp-1/ZG_0001_ASM.stp-1/ZG_0002_ASM.stp-1/ZG_234_A_ASM.stp-1/W1900001.stp-1,FAR_KNEE坐标系,FAR_KNEE基准轴,FAR_KNEE_JOINT,revolute,0,-0.0442,-0.26,0,0,0,FAR_HIP_LINK,0,1,0,0,0,0,0,,,,,,,,
FAR_FOOT_LINK,-2.0291E-07,-0.007766,-1.0061E-06,0,0,0,0.68796,0.0022048,1.0664E-10,-1.131E-06,0.0041699,7.6444E-11,0.0022106,0,0,0,0,0,0,package://ZJ_V3_URDF_V1_0/meshes/FAR_FOOT_LINK.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://ZJ_V3_URDF_V1_0/meshes/FAR_FOOT_LINK.STL,,v30001_asm.stp-1/ZG_0001_ASM.stp-1/ZG_0002_ASM.stp-1/ZG_234_A_ASM.stp-1/W1900002.stp-1,FAR_FOOT坐标系,FAR_FOOT基准轴,FAR_FOOT_JOINT,revolute,0,-0.0592,-0.28,0,0,0,FAR_KNEE_LINK,0,1,0,0,0,0,0,,,,,,,,
FBL_ABAD_LINK,0.030211,0.015926,2.3073E-06,0,0,0,0.26957,0.00020169,7.0404E-05,1.4342E-08,0.00029273,-7.5809E-09,0.00025789,0,0,0,0,0,0,package://ZJ_V3_URDF_V1_0/meshes/FBL_ABAD_LINK.STL,1,0.94902,0.89804,1,0,0,0,0,0,0,package://ZJ_V3_URDF_V1_0/meshes/FBL_ABAD_LINK.STL,,v30001_asm.stp-1/ZG_0001_ASM.stp-1/ZG_0003_ASM.stp-1/2L0001.stp-1,FBL_ABAD坐标系,FBL_ABAD基准轴,FBL_ABAD_JOINT,revolute,0.272,0.065,0.0002,0,0,0,BASE_LINK,1,0,0,0,0,0,0,,,,,,,,
FBL_HIP_LINK,-0.00024776,0.054095,-0.12437,0,0,0,2.6525,0.0073007,-1.5217E-05,3.1909E-07,0.0079319,-3.4155E-05,0.0019306,0,0,0,0,0,0,package://ZJ_V3_URDF_V1_0/meshes/FBL_HIP_LINK.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://ZJ_V3_URDF_V1_0/meshes/FBL_HIP_LINK.STL,,v30001_asm.stp-1/ZG_0001_ASM.stp-1/ZG_0003_ASM.stp-1/ZG_234_A_ASM-1.stp-1/00000_P85_ALL_SW0007.stp-1;v30001_asm.stp-1/ZG_0001_ASM.stp-1/ZG_0003_ASM.stp-1/ZG_234_A_ASM-1.stp-1/0067_ASM.stp-1;v30001_asm.stp-1/ZG_0001_ASM.stp-1/ZG_0003_ASM.stp-1/ZG_234_A_ASM-1.stp-1/0080.stp-1;v30001_asm.stp-1/ZG_0001_ASM.stp-1/ZG_0003_ASM.stp-1/ZG_234_A_ASM-1.stp-1/0081.stp-1;v30001_asm.stp-1/ZG_0001_ASM.stp-1/ZG_0003_ASM.stp-1/ZG_234_A_ASM-1.stp-1/0082.stp-1;v30001_asm.stp-1/ZG_0001_ASM.stp-1/ZG_0003_ASM.stp-1/ZG_234_A_ASM-1.stp-1/20005.stp-1;v30001_asm.stp-1/ZG_0001_ASM.stp-1/ZG_0003_ASM.stp-1/ZG_234_A_ASM-1.stp-1/20006.stp-1;v30001_asm.stp-1/ZG_0001_ASM.stp-1/ZG_0003_ASM.stp-1/ZG_234_A_ASM-1.stp-1/20007.stp-1;v30001_asm.stp-1/ZG_0001_ASM.stp-1/ZG_0003_ASM.stp-1/ZG_234_A_ASM-1.stp-1/00000_P85_ALL_SW0007.stp-2,FBL_HIP坐标系,FBL_HIP基准轴,FBL_HIP_JOINT,revolute,0.0575,0.039,0,0.00017453,0,0,FBL_ABAD_LINK,0,1,0,0,0,0,0,,,,,,,,
FBL_KNEE_LINK,-9.0281E-05,0.024369,-0.17395,0,0,0,1.5888,0.0051917,4.0679E-06,-3.8182E-06,0.0057042,0.00021564,0.00096702,0,0,0,0,0,0,package://ZJ_V3_URDF_V1_0/meshes/FBL_KNEE_LINK.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://ZJ_V3_URDF_V1_0/meshes/FBL_KNEE_LINK.STL,,v30001_asm.stp-1/ZG_0001_ASM.stp-1/ZG_0003_ASM.stp-1/ZG_234_A_ASM-1.stp-1/0071_ASM.stp-1;v30001_asm.stp-1/ZG_0001_ASM.stp-1/ZG_0003_ASM.stp-1/ZG_234_A_ASM-1.stp-1/007.stp-1;v30001_asm.stp-1/ZG_0001_ASM.stp-1/ZG_0003_ASM.stp-1/ZG_234_A_ASM-1.stp-1/0076.stp-1;v30001_asm.stp-1/ZG_0001_ASM.stp-1/ZG_0003_ASM.stp-1/ZG_234_A_ASM-1.stp-1/0077.stp-1;v30001_asm.stp-1/ZG_0001_ASM.stp-1/ZG_0003_ASM.stp-1/ZG_234_A_ASM-1.stp-1/30002.stp-1;v30001_asm.stp-1/ZG_0001_ASM.stp-1/ZG_0003_ASM.stp-1/ZG_234_A_ASM-1.stp-1/30003.stp-1;v30001_asm.stp-1/ZG_0001_ASM.stp-1/ZG_0003_ASM.stp-1/ZG_234_A_ASM-1.stp-1/30004.stp-1;v30001_asm.stp-1/ZG_0001_ASM.stp-1/ZG_0003_ASM.stp-1/ZG_234_A_ASM-1.stp-1/008.stp-1;v30001_asm.stp-1/ZG_0001_ASM.stp-1/ZG_0003_ASM.stp-1/ZG_234_A_ASM-1.stp-1/008.stp-2;v30001_asm.stp-1/ZG_0001_ASM.stp-1/ZG_0003_ASM.stp-1/ZG_234_A_ASM-1.stp-1/W1900001.stp-1,FBL_KNEE坐标系,FBL_KNEE基准轴,FBL_KNEE_JOINT,revolute,0,0.0442,-0.26,0,0,0,FBL_HIP_LINK,0,1,0,0,0,0,0,,,,,,,,
FBL_FOOT_LINK,2.0302E-07,0.007766,-1.006E-06,0,0,0,0.68796,0.0022048,1.0716E-10,1.131E-06,0.0041699,-7.6787E-11,0.0022106,0,0,0,0,0,0,package://ZJ_V3_URDF_V1_0/meshes/FBL_FOOT_LINK.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://ZJ_V3_URDF_V1_0/meshes/FBL_FOOT_LINK.STL,,v30001_asm.stp-1/ZG_0001_ASM.stp-1/ZG_0003_ASM.stp-1/ZG_234_A_ASM-1.stp-1/W1900002.stp-1,FBL_FOOT坐标系,FBL_FOOT基准轴,FBL_FOOT_JOINT,revolute,0,0.0592,-0.28,0,0,0,FBL_KNEE_LINK,0,1,0,0,0,0,0,,,,,,,,
RAR_ABAD_LINK,-0.030211,-0.015926,-4.7238E-07,0,0,0,0.26957,0.00020169,7.0404E-05,-2.0546E-09,0.00029273,1.5E-09,0.00025789,0,0,0,0,0,0,package://ZJ_V3_URDF_V1_0/meshes/RAR_ABAD_LINK.STL,1,0.94902,0.89804,1,0,0,0,0,0,0,package://ZJ_V3_URDF_V1_0/meshes/RAR_ABAD_LINK.STL,,v30001_asm.stp-1/ZG_0001_ASM.stp-1/ZG_0004_ASM.stp-1/2L0001.stp-1,RAR_ABAD坐标系,RAR_ABAD基准轴,RAR_ABAD_JOINT,revolute,-0.272,-0.065,0.0002,0,0,0,BASE_LINK,1,0,0,0,0,0,0,,,,,,,,
